id,name,followers,popularity,genres
0FRIWJYklnmsll5M6h4gUL,The Carter Family,60914,38,appalachian folk;country gospel;traditional country;traditional folk;vocal harmony group
3KmQJ2e3T7Gn1UurVpReXs,Gary Stewart,57811,45,classic country pop;classic texas country;outlaw country
2cNV8vNe2fPFf6OfGOBbSS,Mark Chesnutt,779799,56,country;country road
7DBsiQxsZAKC5lHoRCdOFG,Moonshine Bandits,300859,52,country rap;redneck
1ZVE6jdewracQNS7Ga354o,Hank 3 & David Allan Coe,13899,12,unknown
6nwh8AhPpbwOUnHZJWrHT6,David Allan Coe,950445,58,country;outlaw country
1THO5gJEaoKK9ey0aZbCQE,Jeff Carson,32113,30,classic oklahoma country;country road;deep contemporary country
7gi3jmwpUpNWdswT8eEprF,Conway Twitty,908467,61,arkansas country;classic country pop;country;country rock
1pTuR132U5b4Rizal2Pr7m,Randy Travis,1790026,65,contemporary country;country;country gospel;country road
3mSAqBoXQgdlpwzWsIgBzL,Merle Haggard & The Strangers,33962,53,bakersfield sound
0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,2933435,72,contemporary country;country;country road
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,4113690,81,country rap;nashville hip hop;tennessee hip hop
6NKQIkHTjxD5Ovj6znGV1n,Kevin Fowler,112342,40,classic texas country;outlaw country;red dirt
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,88690,51,alberta country;canadian contemporary country;canadian country;canadian singer-songwriter;cowboy western
0eM8CQVh6KRjm5Vpe03bsR,Carl Johnson,695,32,unknown
02rd0anEWfMtF7iMku9uor,Reba McEntire,2083599,61,classic oklahoma country;contemporary country;country;country dawn;country road
1DyywGnuzXGEzlZMXBcc0j,Roger Creager,93063,37,classic texas country;outlaw country
6zLBxLdl60ekBLpawtT63I,Cody Johnson,1404954,75,classic texas country;contemporary country;modern country pop
